时间,商品住宅施工面积-累计值(万平方米),商品住宅施工面积-累计增长(%),商品住宅新开工施工面积-累计值(万平方米),商品住宅新开工施工面积-累计增长(%),商品住宅竣工面积-累计值(万平方米),商品住宅竣工面积-累计增长(%)
2016年4月,434753.19,3.9,29606.28,18.0,18621.77,19.9
2016年3月,424041.21,4.0,19271.04,14.8,14509.05,17.1
2016年2月,414617.27,4.2,10811.49,9.7,10127.38,29.8
2016年1月,,,,,,
2015年12月,511569.52,-0.7,106651.3,-14.6,73777.36,-8.8
2015年11月,503346.95,-0.3,97076.57,-15.3,53553.47,-6.4
2015年10月,492633.15,0.2,87752.7,-14.7,45235.05,-7.2
2015年9月,482919.31,0.8,79345.0,-13.5,37791.74,-12.7
2015年8月,466294.52,0.2,65829.51,-17.9,31494.47,-17.2
2015年7月,456007.7,1.0,56684.05,-17.9,28077.44,-15.6
2015年6月,444447.32,1.7,46890.84,-17.3,24354.42,-16.5
2015年5月,430355.95,2.5,35090.6,-17.6,19598.76,-16.2
2015年4月,418478.99,3.2,25081.11,-19.6,15526.96,-13.2
2015年3月,407713.71,3.7,16791.32,-20.9,12392.49,-10.9
2015年2月,397877.02,4.4,9851.53,-19.8,7804.44,-15.8
2015年1月,,,,,,
2014年12月,515096.45,5.9,124877.0,-14.4,80868.26,2.7
2014年11月,504914.52,6.8,114636.67,-13.1,57235.73,5.5
2014年10月,491855.31,8.8,102879.43,-9.8,48748.68,5.1
2014年9月,479016.59,8.1,91754.3,-13.5,43268.63,5.1
2014年8月,465242.53,8.3,80173.59,-14.4,38036.38,4.8
2014年7月,451577.37,8.2,69068.85,-16.4,33270.45,2.7
2014年6月,437194.62,8.3,56673.76,-19.8,29168.39,6.3
2014年5月,419883.09,9.1,42588.27,-21.6,23387.88,5.3
2014年4月,405407.83,9.9,31184.06,-24.5,17883.35,-2.1
2014年3月,393205.69,11.4,21238.35,-27.2,13910.42,-7.3
2014年2月,380951.67,13.5,12278.79,-29.6,9265.5,-10.6
2014年1月,,,,,,
2013年12月,486347.33,13.4,145844.8,11.6,78740.62,-0.4
2013年11月,472941.11,13.5,131848.8,10.0,54265.04,-0.1
2013年10月,451867.22,12.1,114084.03,5.2,46395.05,-0.8
2013年9月,443102.38,12.5,106055.3,6.4,41169.86,1.4
2013年8月,429625.73,12.0,93712.75,3.3,36300.53,1.4
2013年7月,417255.02,13.6,82617.1,7.1,32384.44,4.6
2013年6月,403521.09,12.9,70629.68,2.9,27428.1,2.7
2013年5月,384717.4,13.5,54291.3,0.8,22204.21,1.8
2013年4月,368798.32,14.8,41330.01,1.8,18273.48,2.6
2013年3月,352992.44,14.7,29182.28,-0.8,15000.7,4.7
2013年2月,335745.6,12.8,17430.69,17.5,10360.04,30.5
2013年1月,,,,,,
2012年12月,428964.05,10.6,130695.42,-11.2,79043.2,6.4
2012年11月,416656.99,10.8,119905.33,-11.1,54309.68,13.7
2012年10月,403202.74,10.9,108396.34,-12.7,46791.7,17.1
2012年9月,393777.17,11.5,99668.02,-12.9,40609.12,16.5
2012年8月,383558.42,13.1,90754.61,-11.1,35801.4,20.4
2012年7月,367373.77,13.0,77139.64,-13.4,30952.27,19.0
2012年6月,357392.4,15.0,68617.26,-10.7,26718.74,21.1
2012年5月,339036.14,17.3,53882.17,-8.2,21814.55,26.5
2012年4月,321372.59,18.8,40606.05,-7.9,17808.54,30.1
2012年3月,307652.86,22.2,29427.25,-5.2,14325.24,40.0
2012年2月,297604.77,32.8,14832.38,0.0,7935.74,47.9
2012年1月,,,,,,
2011年12月,388438.59,23.4,146034.57,12.9,71692.33,13.0
2011年11月,376013.98,26.0,134939.76,17.6,47767.41,21.5
2011年10月,363711.55,26.8,124114.71,19.1,39952.81,17.6
2011年9月,353099.46,28.1,114479.77,21.3,34845.18,16.6
2011年8月,339162.74,28.9,102089.35,22.6,29742.13,13.6
2011年7月,325047.87,29.2,89117.85,21.6,26017.29,12.7
2011年6月,310795.17,30.0,76865.75,20.7,22059.02,12.3
2011年5月,289145.94,31.1,58698.97,20.6,17238.04,12.7
2011年4月,270474.01,32.3,44088.66,21.2,13685.45,13.8
2011年3月,251713.82,34.4,31025.29,19.6,10229.08,14.8
2011年2月,224048.85,38.9,14838.49,25.4,5366.25,12.1
2011年1月,,,,,,
2010年12月,314942.59,25.3,129467.93,38.8,61215.72,2.7
2010年11月,298365.43,27.2,114721.53,46.2,39321.93,7.1
2010年10月,286928.95,26.9,104171.79,59.3,33971.52,9.0
2010年9月,275631.78,26.9,94408.23,60.8,29880.58,8.1
2010年8月,263220.76,28.0,83244.42,64.5,26179.65,8.8
2010年7月,251622.76,28.3,73276.34,65.9,23093.79,10.5
2010年6月,239045.43,27.6,63663.6,65.4,19646.65,15.5
2010年5月,220620.18,29.5,48662.12,69.7,15290.87,14.8
2010年4月,204490.28,30.8,36372.44,62.9,12027.74,10.8
2010年3月,187218.56,35.5,25945.96,62.7,8913.97,9.8
2010年2月,161289.01,28.7,11834.33,39.2,4788.57,5.8
2010年1月,,,,,,
2009年12月,250804.25,12.5,92463.47,10.5,57694.43,6.2
2009年11月,234587.33,16.0,78485.08,12.9,36700.44,28.2
2009年10月,226093.65,15.0,65391.6,0.4,31179.77,25.1
2009年9月,217289.18,14.0,58696.8,-3.5,27656.14,26.7
2009年8月,205686.26,12.0,50616.41,-8.9,24083.29,26.8
2009年7月,196148.82,11.0,44182.22,-11.9,20929.69,26.6
2009年6月,187413.99,11.4,38487.29,-13.1,17036.63,22.9
2009年5月,170322.4,10.2,28682.02,-18.7,13320.43,23.6
2009年4月,156344.6,11.0,22332.27,-18.6,10858.25,28.5
2009年3月,138118.8,10.9,15945.59,-19.7,8117.34,26.9
2009年2月,108862.4,12.3,8457.28,-18.9,4525.77,28.5
2009年1月,,,,,,
2008年12月,216671.36,16.0,79889.1,1.4,47749.73,-4.2
2008年11月,202259.61,18.2,69537.7,5.0,28628.46,5.0
2008年10月,196550.58,19.5,65113.22,6.9,24931.23,7.6
2008年9月,190669.05,21.2,60840.17,9.6,21820.09,8.6
2008年8月,183584.28,22.9,55567.37,12.6,18987.23,11.4
2008年7月,176672.49,23.9,50170.64,14.6,16532.75,12.4
2008年6月,168266.45,25.6,44309.12,18.0,13861.98,13.9
2008年5月,154488.7,26.6,35265.55,18.7,10772.88,18.7
2008年4月,140806.02,27.2,27422.3,20.2,8448.31,20.2
2008年3月,124512.7,29.3,19862.17,24.8,6397.56,27.4
2008年2月,96909.14,33.9,10423.07,24.9,3522.39,30.2
2008年1月,,,,,,
2007年12月,186454.97,22.9,78135.98,21.3,47767.25,5.0
2007年11月,171063.18,24.2,66232.44,24.5,27261.3,8.5
2007年10月,164509.71,24.0,60899.19,24.2,23164.32,8.8
2007年9月,157312.73,23.6,55531.57,23.6,20083.21,11.0
2007年8月,149436.45,23.7,49349.24,23.4,17045.39,10.0
2007年7月,142557.71,23.6,43797.74,22.3,14706.81,10.7
2007年6月,134015.36,22.9,37537.14,20.9,12173.41,11.8
2007年5月,122075.93,23.0,29717.45,19.7,9074.26,12.0
2007年4月,110685.49,22.2,22810.28,16.5,7027.85,9.9
2007年3月,96294.58,21.4,15909.43,12.4,5023.08,11.5
2007年2月,72351.5,17.9,8347.89,6.8,2705.44,1.3
2007年1月,,,,,,
2006年12月,151498.71,17.6,63567.5,15.6,43247.46,-0.8
2006年11月,137716.46,19.2,53178.25,19.1,25116.28,8.9
2006年10月,132616.38,19.6,49050.31,19.3,21282.62,8.7
2006年9月,127291.94,19.6,44930.5,19.1,18094.21,9.1
2006年8月,120808.63,19.0,39999.86,17.9,15500.53,8.4
2006年7月,115302.17,19.5,35797.25,18.1,13288.59,9.7
2006年6月,109090.4,21.1,31041.4,21.5,10892.1,18.1
2006年5月,99287.33,21.0,24826.73,21.3,8100.73,21.7
2006年4月,90570.14,22.1,19575.69,22.9,6397.11,30.2
2006年3月,79295.38,23.1,14151.92,24.0,4503.35,33.1
2006年2月,61359.11,24.9,7815.75,28.2,2671.69,39.2
2006年1月,,,,,,
2005年12月,127747.65,18.1,54033.97,12.7,40004.49,15.4
2005年11月,115521.62,19.2,44646.21,14.3,23061.23,18.4
2005年10月,110926.55,19.1,41103.06,14.4,19582.96,19.6
2005年9月,106468.04,19.2,37716.5,15.0,16586.1,18.9
2005年8月,101548.06,19.2,33930.2,14.7,14297.7,24.4
2005年7月,96495.43,19.9,30303.42,15.1,12111.37,25.1
2005年6月,90082.23,18.8,25552.9,13.3,9226.23,18.3
2005年5月,82086.08,18.3,20470.06,13.5,6654.66,15.9
2005年4月,74159.42,19.3,15932.12,13.9,4914.91,15.0
2005年3月,64417.93,18.7,11408.43,10.7,3383.82,13.5
2005年2月,49125.32,17.0,6094.21,4.3,1919.76,23.3
2005年1月,,,,,,
2004年12月,108196.54,18.2,47949.01,9.3,34677.18,2.3
2004年11月,96850.33,20.3,39000.45,10.6,19464.81,10.1
2004年10月,93021.16,21.0,35860.11,10.3,16358.68,8.6
2004年9月,89322.04,21.9,32786.85,10.6,13948.99,9.1
2004年8月,85048.22,23.1,29590.61,12.2,11470.42,10.5
2004年7月,80475.98,23.4,26327.87,13.2,9640.86,11.6
2004年6月,75730.53,25.2,22503.28,13.2,7799.48,14.2
2004年5月,69386.4,28.2,18041.01,16.2,5722.29,18.2
2004年4月,62148.24,30.4,13985.85,16.2,4273.63,19.4
2004年3月,54249.26,32.1,10309.58,18.1,2980.91,19.5
2004年2月,41763.32,44.1,5851.55,26.5,1542.98,30.5
2004年1月,,,,,,
2003年12月,91018.09,,43676.44,,32200.47,
2003年11月,80316.79,,35240.74,,17588.72,
2003年10月,76711.62,,32474.45,,14982.43,
2003年9月,73157.1,,29607.81,,12716.56,
2003年8月,68968.6,,26375.33,,10307.04,
2003年7月,65111.33,,23264.82,,8561.52,
2003年6月,60411.15,,19876.08,,6766.36,
2003年5月,54049.51,,15527.44,,4801.27,
2003年4月,47686.32,,12058.79,,3546.17,
2003年3月,40952.5,,8729.64,,2459.05,
2003年2月,28938.82,,4624.66,,1180.96,
2003年1月,,,,,,
2002年12月,72077.2,,34224.1,,26612.78,
2002年11月,63230.95,,27647.93,,13724.27,
2002年10月,60599.74,,25455.73,,11361.79,
2002年9月,57703.91,,22988.23,,9576.2,
2002年8月,54446.52,,20272.9,,7880.45,
2002年7月,51574.88,,17947.35,,6349.97,
2002年6月,47048.26,,15277.65,,4880.52,
2002年5月,42000.78,,11873.47,,3392.2,
2002年4月,37681.29,,9269.16,,2567.49,
2002年3月,31579.73,,6475.45,,1703.76,
2002年2月,21914.64,,3069.21,,708.92,
2002年1月,,,,,,
2001年12月,59766.14,,29293.31,,22544.24,
2001年11月,51185.92,24.4,23232.46,,10630.8,17.2
2001年10月,49043.4,25.5,21278.79,,8849.05,18.0
2001年9月,46814.93,26.1,19456.69,,7520.59,18.7
2001年8月,44261.73,26.2,17327.98,,6195.92,19.4
2001年7月,41688.29,26.0,15239.03,,5069.55,17.3
2001年6月,38310.16,24.9,12817.11,,4052.41,16.5
2001年5月,34236.35,29.5,9789.21,,2898.64,8.7
2001年4月,30183.75,25.5,7259.93,,2191.85,34.8
2001年3月,25794.45,26.4,5152.45,,1445.48,31.7
2001年2月,17835.65,28.2,2400.14,,647.11,17.2
2001年1月,,,,,,
2000年12月,48304.93,17.7,23335.33,,18948.45,17.0
2000年11月,41153.61,17.2,17822.24,,9073.86,21.4
2000年10月,39072.92,,16006.51,,7497.91,
2000年9月,37135.48,,14408.61,,6335.07,
2000年8月,35074.24,,12860.99,,5190.87,
2000年7月,33091.94,,11340.43,,4321.82,
2000年6月,30668.12,,9768.53,,3478.43,
2000年5月,27237.52,,7559.08,,2300.8,
2000年4月,24048.84,,5654.62,,1625.43,
2000年3月,20400.04,,3970.78,,1097.15,
2000年2月,13910.92,,1861.7,,552.15,
2000年1月,,,,,,
