日期	收盘	开盘	高	低	百分比变化
2012年5月3日	6.3053	6.3080	6.3101	6.3018	-0.04%
2012年5月2日	6.3080	6.3095	6.3103	6.2954	-0.03%
2012年5月1日	6.3099	6.3099	6.3099	6.3099	0.00%
2012年4月30日	6.3099	6.3099	6.3099	6.3099	0.00%
2012年4月27日	6.3099	6.3061	6.3125	6.3026	0.07%
2012年4月26日	6.3057	6.3044	6.3065	6.2946	0.01%
2012年4月25日	6.3050	6.3083	6.3083	6.3030	-0.04%
2012年4月24日	6.3074	6.3087	6.3118	6.3065	-0.02%
2012年4月23日	6.3088	6.3088	6.3103	6.3028	0.00%
2012年4月20日	6.3086	6.3039	6.3104	6.3036	0.07%
2012年4月19日	6.3039	6.3031	6.3086	6.3026	-0.00%
2012年4月18日	6.3040	6.3025	6.3095	6.3020	0.03%
2012年4月17日	6.3022	6.3156	6.3156	6.2934	-0.21%
2012年4月16日	6.3157	6.3031	6.3274	6.3030	0.19%
2012年4月13日	6.3035	6.3075	6.3075	6.2959	-0.06%
2012年4月12日	6.3073	6.3079	6.3091	6.3009	-0.03%
2012年4月11日	6.3090	6.3070	6.3114	6.3070	-0.03%
2012年4月10日	6.3110	6.3086	6.3129	6.3065	0.03%
2012年4月9日	6.3089	6.3063	6.3116	6.3026	0.03%
2012年4月6日	6.3072	6.3141	6.3211	6.3060	-0.10%
2012年4月5日	6.3135	6.3010	6.3140	6.3010	0.25%
2012年4月4日	6.2980	6.2980	6.2980	6.2980	0.00%
2012年4月3日	6.2980	6.2980	6.2980	6.2980	-0.01%
2012年4月2日	6.2985	6.2980	6.2985	6.2980	0.01%
2012年3月30日	6.2980	6.3062	6.3062	6.2977	-0.12%
2012年3月29日	6.3058	6.3048	6.3106	6.3048	0.01%
2012年3月28日	6.3053	6.3068	6.3111	6.3049	-0.02%
2012年3月27日	6.3065	6.3145	6.3148	6.3026	-0.14%
2012年3月26日	6.3151	6.3046	6.3161	6.2971	0.14%
2012年3月23日	6.3061	6.3018	6.3093	6.2862	0.10%
2012年3月22日	6.2997	6.3135	6.3207	6.2987	-0.37%
2012年3月21日	6.3228	6.3239	6.3280	6.3207	-0.02%
2012年3月20日	6.3243	6.3220	6.3274	6.3106	0.03%
2012年3月19日	6.3226	6.3225	6.3238	6.3076	-0.01%
2012年3月16日	6.3230	6.3293	6.3293	6.3183	-0.09%
2012年3月15日	6.3289	6.3318	6.3362	6.3287	-0.05%
2012年3月14日	6.3321	6.3277	6.3473	6.3273	0.08%
2012年3月13日	6.3270	6.3249	6.3281	6.3205	0.01%
2012年3月12日	6.3263	6.3198	6.3276	6.3194	0.25%
2012年3月9日	6.3107	6.3165	6.3165	6.3049	-0.09%
2012年3月8日	6.3164	6.3102	6.3168	6.3100	0.10%
2012年3月7日	6.3099	6.3118	6.3177	6.3090	0.03%
2012年3月6日	6.3079	6.3072	6.3106	6.3066	0.02%
2012年3月5日	6.3069	6.2979	6.3077	6.2979	0.13%
2012年3月2日	6.2990	6.3010	6.3015	6.2970	-0.02%
2012年3月1日	6.3004	6.2938	6.3011	6.2938	0.10%
2012年2月29日	6.2938	6.2988	6.2994	6.2911	-0.08%
2012年2月28日	6.2991	6.3017	6.3017	6.2949	-0.04%
2012年2月27日	6.3016	6.2982	6.3030	6.2957	0.06%
2012年2月24日	6.2978	6.2985	6.3000	6.2941	-0.02%
2012年2月23日	6.2990	6.2960	6.3028	6.2960	0.03%
2012年2月22日	6.2970	6.2973	6.3003	6.2952	0.01%
2012年2月21日	6.2965	6.3019	6.3042	6.2959	-0.08%
2012年2月20日	6.3017	6.2989	6.3025	6.2919	0.05%
2012年2月17日	6.2988	6.3015	6.3018	6.2958	-0.05%
2012年2月16日	6.3017	6.3002	6.3050	6.2991	0.02%
2012年2月15日	6.3002	6.2994	6.3027	6.2982	0.01%
2012年2月14日	6.2995	6.2961	6.3018	6.2961	0.03%
2012年2月13日	6.2976	6.2954	6.3060	6.2944	-0.03%
2012年2月10日	6.2995	6.2943	6.2996	6.2881	0.07%
2012年2月9日	6.2950	6.2938	6.3013	6.2938	0.00%
2012年2月8日	6.2948	6.3056	6.3056	6.2945	-0.16%
2012年2月7日	6.3048	6.3117	6.3126	6.3041	-0.12%
2012年2月6日	6.3124	6.3031	6.3140	6.3028	0.15%
2012年2月3日	6.3030	6.3021	6.3078	6.3021	0.02%
2012年2月2日	6.3020	6.3068	6.3068	6.2983	-0.09%
2012年2月1日	6.3076	6.3086	6.3104	6.3034	-0.02%
2012年1月31日	6.3090	6.3305	6.3319	6.3079	-0.39%
2012年1月30日	6.3338	6.3358	6.3358	6.3106	-0.00%
2012年1月27日	6.3340	6.3340	6.3340	6.3340	0.00%
2012年1月26日	6.3340	6.3340	6.3340	6.3340	0.00%
2012年1月25日	6.3340	6.3340	6.3340	6.3340	0.00%
2012年1月24日	6.3340	6.3340	6.3340	6.3340	0.00%
2012年1月23日	6.3340	6.3340	6.3340	6.3340	0.00%
2012年1月20日	6.3340	6.3171	6.3393	6.3086	0.27%
2012年1月19日	6.3167	6.3117	6.3212	6.3110	0.08%
2012年1月18日	6.3119	6.3142	6.3189	6.3089	-0.03%
2012年1月17日	6.3139	6.3166	6.3174	6.3106	-0.04%
2012年1月16日	6.3165	6.3068	6.3197	6.3067	0.15%
2012年1月13日	6.3068	6.3182	6.3197	6.3056	-0.18%
2012年1月12日	6.3181	6.3154	6.3231	6.3154	0.04%
2012年1月11日	6.3154	6.3147	6.3245	6.3127	0.01%
2012年1月10日	6.3148	6.3152	6.3167	6.3107	0.00%
2012年1月9日	6.3146	6.3092	6.3196	6.3067	0.08%
2012年1月6日	6.3094	6.3019	6.3138	6.3018	0.12%
2012年1月5日	6.3016	6.2944	6.3064	6.2941	0.11%
2012年1月4日	6.2945	6.2938	6.2988	6.2916	0.01%
2012年1月3日	6.2941	6.2935	6.2941	6.2935	0.00%
2012年1月2日	6.2941	6.2935	6.2941	6.2935	0.00%
2011年12月30日	6.2939	6.3189	6.3189	6.2939	-0.40%
2011年12月29日	6.3190	6.3213	6.3255	6.3172	-0.03%
2011年12月28日	6.3212	6.3212	6.3279	6.3152	-0.01%
2011年12月27日	6.3218	6.3199	6.3276	6.3169	0.04%
2011年12月26日	6.3194	6.3370	6.3372	6.3161	-0.28%
2011年12月23日	6.3373	6.3401	6.3413	6.3308	-0.03%
2011年12月22日	6.3395	6.3390	6.3422	6.3312	0.01%
2011年12月21日	6.3388	6.3466	6.3466	6.3266	-0.13%
2011年12月20日	6.3470	6.3387	6.3541	6.3350	0.15%
2011年12月19日	6.3377	6.3484	6.3574	6.3369	-0.17%
2011年12月16日	6.3484	6.3740	6.3740	6.3305	-0.40%
2011年12月15日	6.3740	6.3722	6.3747	6.3720	0.04%
2011年12月14日	6.3712	6.3652	6.3714	6.3647	0.09%
2011年12月13日	6.3655	6.3613	6.3678	6.3613	0.07%
2011年12月12日	6.3609	6.3643	6.3643	6.3569	-0.05%
2011年12月9日	6.3644	6.3622	6.3665	6.3605	0.03%
2011年12月8日	6.3627	6.3643	6.3643	6.3551	-0.04%
2011年12月7日	6.3651	6.3653	6.3660	6.3506	0.01%
2011年12月6日	6.3647	6.3632	6.3653	6.3623	0.01%
2011年12月5日	6.3640	6.3610	6.3668	6.3602	0.06%
2011年12月2日	6.3603	6.3617	6.3630	6.3584	-0.13%
2011年12月1日	6.3685	6.3819	6.3819	6.3609	-0.16%
2011年11月30日	6.3788	6.3777	6.3788	6.3652	0.02%
2011年11月29日	6.3773	6.3845	6.3845	6.3743	-0.12%
2011年11月28日	6.3850	6.3744	6.3875	6.3721	0.05%
2011年11月25日	6.3816	6.3628	6.3828	6.3613	0.31%
2011年11月24日	6.3620	6.3584	6.3724	6.3564	0.06%
2011年11月23日	6.3583	6.3547	6.3609	6.3537	-0.04%
2011年11月22日	6.3611	6.3605	6.3716	6.3595	-0.01%
2011年11月21日	6.3619	6.3530	6.3620	6.3515	0.08%
2011年11月18日	6.3568	6.3503	6.3642	6.3502	0.08%
2011年11月17日	6.3517	6.3450	6.3559	6.3450	0.10%
2011年11月16日	6.3451	6.3466	6.3548	6.3447	-0.03%
2011年11月15日	6.3473	6.3546	6.3652	6.3462	-0.13%
2011年11月14日	6.3557	6.3436	6.3567	6.3345	0.22%
2011年11月11日	6.3420	6.3459	6.3461	6.3397	-0.07%
2011年11月10日	6.3467	6.3407	6.3609	6.3407	0.10%
2011年11月9日	6.3404	6.3465	6.3465	6.3364	-0.10%
2011年11月8日	6.3468	6.3485	6.3519	6.3448	-0.05%
2011年11月7日	6.3498	6.3409	6.3507	6.3404	0.14%
2011年11月4日	6.3410	6.3475	6.3490	6.3406	-0.16%
2011年11月3日	6.3514	6.3536	6.3536	6.3390	-0.07%
2011年11月2日	6.3561	6.3552	6.3574	6.3475	0.02%
2011年11月1日	6.3550	6.3543	6.3609	6.3463	-0.00%
2011年10月31日	6.3552	6.3575	6.3581	6.3497	-0.06%
2011年10月28日	6.3588	6.3430	6.3588	6.3387	-0.01%
2011年10月27日	6.3595	6.3534	6.3610	6.3495	0.09%
2011年10月26日	6.3538	6.3610	6.3680	6.3488	-0.11%
2011年10月25日	6.3610	6.3749	6.3749	6.3587	-0.22%
2011年10月24日	6.3752	6.3842	6.3842	6.3663	-0.13%
2011年10月21日	6.3838	6.3841	6.3917	6.3775	-0.01%
2011年10月20日	6.3843	6.3788	6.3874	6.3697	0.10%
2011年10月19日	6.3777	6.3813	6.3843	6.3732	-0.05%
2011年10月18日	6.3809	6.3700	6.3829	6.3689	0.17%
2011年10月17日	6.3701	6.3791	6.3792	6.3655	-0.14%
2011年10月14日	6.3790	6.3775	6.3830	6.3762	-0.06%
2011年10月13日	6.3830	6.3597	6.3906	6.3591	0.37%
2011年10月12日	6.3593	6.3728	6.3924	6.3590	-0.25%
2011年10月11日	6.3750	6.3483	6.3757	6.3368	0.42%
2011年10月10日	6.3483	6.3755	6.3804	6.3458	-0.42%
2011年10月7日	6.3750	6.3750	6.3750	6.3750	-0.06%
2011年10月6日	6.3790	6.3755	6.3790	6.3755	0.06%
2011年10月5日	6.3750	6.3750	6.3750	6.3750	0.00%
2011年10月4日	6.3750	6.3750	6.3750	6.3750	0.00%
2011年10月3日	6.3750	6.3750	6.3750	6.3750	-0.11%
2011年9月30日	6.3822	6.4011	6.4011	6.3788	-0.24%
2011年9月29日	6.3974	6.3944	6.3992	6.3940	0.05%
2011年9月28日	6.3940	6.3865	6.3945	6.3842	-0.07%
2011年9月27日	6.3984	6.3984	6.3988	6.3889	0.01%
2011年9月26日	6.3980	6.3875	6.3980	6.3837	0.16%
2011年9月23日	6.3880	6.3920	6.4011	6.3871	-0.01%
2011年9月22日	6.3888	6.3821	6.4008	6.3818	0.10%
2011年9月21日	6.3821	6.3848	6.3850	6.3776	-0.03%
2011年9月20日	6.3841	6.3868	6.3909	6.3829	-0.04%
2011年9月19日	6.3866	6.3836	6.3897	6.3797	0.06%
2011年9月16日	6.3830	6.3915	6.3915	6.3814	-0.09%
2011年9月15日	6.3890	6.3950	6.3951	6.3855	-0.05%
2011年9月14日	6.3920	6.3980	6.3996	6.3915	-0.11%
2011年9月13日	6.3990	6.3839	6.3995	6.3839	0.17%
2011年9月12日	6.3884	6.3872	6.3884	6.3872	0.00%
2011年9月9日	6.3882	6.3833	6.3900	6.3833	0.07%
2011年9月8日	6.3838	6.3920	6.3945	6.3835	-0.14%
2011年9月7日	6.3930	6.3900	6.3955	6.3900	0.04%
2011年9月6日	6.3905	6.3855	6.3919	6.3855	0.07%
2011年9月5日	6.3859	6.3812	6.3889	6.3812	0.05%
2011年9月2日	6.3830	6.3815	6.3873	6.3811	0.02%
2011年9月1日	6.3815	6.3775	6.3828	6.3770	0.04%
2011年8月31日	6.3790	6.3805	6.3830	6.3775	-0.03%
2011年8月30日	6.3808	6.3805	6.3830	6.3783	-0.01%
2011年8月29日	6.3812	6.3859	6.3882	6.3799	-0.09%
2011年8月26日	6.3872	6.3891	6.3933	6.3851	-0.05%
2011年8月25日	6.3904	6.3880	6.3937	6.3880	0.03%
2011年8月24日	6.3885	6.3970	6.3970	6.3871	-0.15%
2011年8月23日	6.3984	6.3994	6.4018	6.3954	-0.03%
2011年8月22日	6.4005	6.3915	6.4016	6.3915	0.14%
2011年8月19日	6.3915	6.3875	6.4000	6.3875	0.05%
2011年8月18日	6.3883	6.3868	6.3924	6.3868	0.02%
2011年8月17日	6.3872	6.3818	6.3926	6.3818	0.07%
2011年8月16日	6.3828	6.3905	6.3930	6.3825	-0.13%
2011年8月15日	6.3908	6.3895	6.3934	6.3894	0.02%
2011年8月12日	6.3897	6.3909	6.3989	6.3895	-0.08%
2011年8月11日	6.3945	6.4184	6.4184	6.3890	-0.36%
2011年8月10日	6.4177	6.4306	6.4312	6.4125	-0.20%
2011年8月9日	6.4308	6.4346	6.4435	6.4305	-0.07%
2011年8月8日	6.4352	6.4400	6.4400	6.4250	-0.08%
2011年8月5日	6.4406	6.4370	6.4457	6.4370	0.04%
2011年8月4日	6.4383	6.4341	6.4426	6.4341	0.06%
2011年8月3日	6.4343	6.4367	6.4424	6.4337	-0.06%
2011年8月2日	6.4381	6.4329	6.4405	6.4329	0.07%
2011年8月1日	6.4339	6.4362	6.4396	6.4329	-0.05%
2011年7月29日	6.4370	6.4420	6.4449	6.4370	-0.08%
2011年7月28日	6.4424	6.4421	6.4478	6.4411	-0.02%
2011年7月27日	6.4436	6.4407	6.4438	6.4380	0.03%
2011年7月26日	6.4415	6.4440	6.4470	6.4369	-0.05%
2011年7月25日	6.4448	6.4458	6.4483	6.4438	-0.04%
2011年7月22日	6.4474	6.4505	6.4518	6.4445	-0.11%
2011年7月21日	6.4545	6.4575	6.4592	6.4495	-0.07%
2011年7月20日	6.4588	6.4627	6.4639	6.4543	-0.07%
2011年7月19日	6.4635	6.4670	6.4697	6.4619	-0.09%
2011年7月18日	6.4690	6.4622	6.4694	6.4622	0.11%
2011年7月15日	6.4620	6.4575	6.4652	6.4575	0.03%
2011年7月14日	6.4600	6.4675	6.4686	6.4557	-0.12%
2011年7月13日	6.4678	6.4718	6.4733	6.4648	-0.07%
2011年7月12日	6.4723	6.4663	6.4752	6.4642	0.08%
2011年7月11日	6.4672	6.4642	6.4675	6.4611	0.04%
2011年7月8日	6.4645	6.4650	6.4672	6.4640	-0.02%
2011年7月7日	6.4657	6.4662	6.4689	6.4621	-0.04%
2011年7月6日	6.4680	6.4683	6.4731	6.4630	-0.00%
2011年7月5日	6.4681	6.4638	6.4702	6.4609	0.08%
2011年7月4日	6.4630	6.4643	6.4659	6.4601	-0.03%
2011年7月1日	6.4650	6.4635	6.4688	6.4626	0.01%
2011年6月30日	6.4642	6.4627	6.4688	6.4627	0.01%
2011年6月29日	6.4634	6.4697	6.4715	6.4622	-0.09%
2011年6月28日	6.4695	6.4765	6.4765	6.4675	-0.20%
2011年6月27日	6.4825	6.4735	6.4827	6.4730	0.12%
2011年6月24日	6.4750	6.4680	6.4779	6.4670	0.11%
2011年6月23日	6.4678	6.4617	6.4713	6.4617	0.07%
2011年6月22日	6.4630	6.4655	6.4688	6.4620	-0.03%
2011年6月21日	6.4652	6.4703	6.4787	6.4642	-0.12%
2011年6月20日	6.4730	6.4670	6.4773	6.4670	0.03%
2011年6月17日	6.4710	6.4725	6.4751	6.4655	-0.06%
2011年6月16日	6.4752	6.4807	6.4877	6.4752	-0.10%
2011年6月15日	6.4818	6.4790	6.4837	6.4760	0.03%
2011年6月14日	6.4796	6.4823	6.4830	6.4757	-0.05%
2011年6月13日	6.4829	6.4793	6.4870	6.4793	0.04%
2011年6月10日	6.4803	6.4752	6.4826	6.4752	0.05%
2011年6月9日	6.4770	6.4760	6.4815	6.4740	0.02%
2011年6月8日	6.4756	6.4798	6.4827	6.4754	-0.10%
2011年6月7日	6.4820	6.4710	6.4822	6.4710	0.04%
2011年6月6日	6.4793	6.4793	6.4793	6.4793	0.00%
2011年6月3日	6.4793	6.4828	6.4835	6.4793	-0.06%
2011年6月2日	6.4833	6.4775	6.4845	6.4775	0.07%
2011年6月1日	6.4790	6.4785	6.4813	6.4780	-0.01%
2011年5月31日	6.4795	6.4830	6.4836	6.4785	-0.05%
2011年5月30日	6.4829	6.4895	6.4920	6.4825	-0.16%
2011年5月27日	6.4930	6.4915	6.4940	6.4880	0.04%
2011年5月26日	6.4905	6.4925	6.4935	6.4864	-0.05%
2011年5月25日	6.4940	6.4975	6.4985	6.4929	-0.07%
2011年5月24日	6.4985	6.5035	6.5060	6.4981	-0.10%
2011年5月23日	6.5050	6.4920	6.5062	6.4920	0.18%
2011年5月20日	6.4930	6.5045	6.5052	6.4922	-0.18%
2011年5月19日	6.5050	6.5035	6.5080	6.5020	-0.02%
2011年5月18日	6.5060	6.5060	6.5079	6.5032	0.00%
2011年5月17日	6.5059	6.5065	6.5087	6.5042	-0.04%
2011年5月16日	6.5087	6.4970	6.5105	6.4970	0.16%
2011年5月13日	6.4980	6.4978	6.5018	6.4948	-0.01%
2011年5月12日	6.4987	6.4928	6.5038	6.4928	0.10%
2011年5月11日	6.4920	6.4910	6.4950	6.4909	0.00%
2011年5月10日	6.4917	6.4939	6.4955	6.4908	-0.04%
2011年5月9日	6.4940	6.4930	6.4976	6.4930	0.01%
2011年5月6日	6.4932	6.4939	6.4999	6.4928	-0.00%
2011年5月5日	6.4933	6.4909	6.4984	6.4909	0.00%
2011年5月4日	6.4933	6.4963	6.4998	6.4913	-0.06%
2011年5月3日	6.4970	6.4900	6.5006	6.4900	0.07%
2011年5月2日	6.4925	6.4900	6.4925	6.4900	0.02%
2011年4月29日	6.4910	6.5005	6.5005	6.4755	-0.17%
2011年4月28日	6.5018	6.5103	6.5103	6.4778	-0.15%
2011年4月27日	6.5116	6.5229	6.5274	6.4874	-0.25%
2011年4月26日	6.5278	6.5188	6.5328	6.5210	0.00%
2011年4月25日	6.5278	6.5068	6.5290	6.5065	0.32%
2011年4月22日	6.5072	6.5204	6.5204	6.5069	0.20%
2011年4月21日	6.4940	6.5260	6.5274	6.4940	-0.48%
2011年4月20日	6.5256	6.5298	6.5298	6.5073	-0.08%
2011年4月19日	6.5305	6.5282	6.5338	6.5262	0.02%
2011年4月18日	6.5289	6.5307	6.5320	6.5268	-0.06%
2011年4月15日	6.5327	6.5305	6.5331	6.5205	0.02%
2011年4月14日	6.5312	6.5324	6.5351	6.5293	-0.04%
2011年4月13日	6.5335	6.5399	6.5407	6.5319	-0.11%
2011年4月12日	6.5406	6.5369	6.5466	6.5244	0.04%
2011年4月11日	6.5382	6.5352	6.5386	6.5332	0.04%
2011年4月8日	6.5353	6.5418	6.5423	6.5348	-0.11%
2011年4月7日	6.5423	6.5438	6.5462	6.5349	-0.03%
2011年4月6日	6.5442	6.5377	6.5481	6.5377	0.04%
2011年4月5日	6.5418	6.5408	6.5418	6.5408	0.03%
2011年4月4日	6.5400	6.5480	6.5515	6.5365	-0.12%
2011年4月1日	6.5478	6.5476	6.5497	6.5441	-0.01%
2011年3月31日	6.5486	6.5556	6.5573	6.5443	-0.11%
2011年3月30日	6.5560	6.5602	6.5622	6.5551	-0.08%
2011年3月29日	6.5610	6.5628	6.5652	6.5593	-0.06%
2011年3月28日	6.5649	6.5566	6.5650	6.5552	0.12%
2011年3月25日	6.5571	6.5613	6.5636	6.5532	-0.05%
2011年3月24日	6.5605	6.5600	6.5663	6.5595	0.04%
2011年3月23日	6.5580	6.5525	6.5621	6.5505	0.08%
2011年3月22日	6.5525	6.5645	6.5645	6.5515	-0.19%
2011年3月21日	6.5650	6.5695	6.5704	6.5620	-0.07%
2011年3月18日	6.5694	6.5730	6.5752	6.5668	-0.09%
2011年3月17日	6.5755	6.5717	6.5780	6.5697	0.06%
2011年3月16日	6.5716	6.5708	6.5738	6.5693	-0.01%
2011年3月15日	6.5724	6.5694	6.5739	6.5655	0.04%
2011年3月14日	6.5700	6.5739	6.5746	6.5654	-0.07%
2011年3月11日	6.5745	6.5728	6.5773	6.5723	0.01%
2011年3月10日	6.5737	6.5586	6.5755	6.5565	0.20%
2011年3月9日	6.5605	6.5695	6.5747	6.5605	-0.12%
2011年3月8日	6.5686	6.5553	6.5696	6.5553	0.18%
2011年3月7日	6.5565	6.5695	6.5705	6.5565	-0.17%
2011年3月4日	6.5675	6.5710	6.5713	6.5580	-0.07%
2011年3月3日	6.5724	6.5722	6.5741	6.5670	-0.00%
2011年3月2日	6.5725	6.5697	6.5740	6.5697	0.04%
2011年3月1日	6.5702	6.5653	6.5726	6.5648	-0.02%
2011年2月28日	6.5716	6.5743	6.5779	6.5693	-0.06%
2011年2月25日	6.5757	6.5728	6.5774	6.5698	0.02%
2011年2月24日	6.5745	6.5760	6.5827	6.5745	0.00%
2011年2月23日	6.5744	6.5788	6.5838	6.5738	-0.09%
2011年2月22日	6.5800	6.5670	6.5820	6.5635	0.19%
2011年2月21日	6.5672	6.5735	6.5737	6.5545	-0.10%
2011年2月18日	6.5735	6.5829	6.5855	6.5737	-0.19%
2011年2月17日	6.5863	6.5878	6.5898	6.5808	-0.05%
2011年2月16日	6.5894	6.5895	6.5900	6.5826	0.00%
2011年2月15日	6.5892	6.5963	6.5974	6.5876	-0.12%
2011年2月14日	6.5968	6.5908	6.5976	6.5908	0.08%
2011年2月11日	6.5918	6.5856	6.5934	6.5856	0.07%
2011年2月10日	6.5869	6.5900	6.5909	6.5844	-0.09%
2011年2月9日	6.5926	6.5522	6.5926	6.5522	0.58%
2011年2月8日	6.5545	6.5595	6.5635	6.5515	-0.12%
2011年2月7日	6.5625	6.5616	6.5625	6.5586	0.06%
2011年2月4日	6.5585	6.5920	6.5920	6.5920	0.00%
2011年2月3日	6.5585	6.5585	6.5585	6.5585	0.00%
2011年2月2日	6.5585	6.5625	6.5635	6.5555	-0.57%
2011年2月1日	6.5959	6.6017	6.6017	6.5912	-0.14%
2011年1月31日	6.6050	6.5877	6.6050	6.5872	0.35%
2011年1月28日	6.5821	6.5815	6.5879	6.5787	0.00%
2011年1月27日	6.5821	6.5807	6.5843	6.5797	0.01%
2011年1月26日	6.5817	6.5818	6.5848	6.5803	-0.01%
2011年1月25日	6.5826	6.5802	6.5851	6.5742	0.02%
2011年1月24日	6.5812	6.5827	6.5871	6.5803	-0.03%
2011年1月21日	6.5835	6.5844	6.5895	6.5804	-0.03%
2011年1月20日	6.5857	6.5816	6.5888	6.5816	0.05%
2011年1月19日	6.5825	6.5817	6.5875	6.5802	-0.01%
2011年1月18日	6.5831	6.5918	6.5933	6.5819	-0.15%
2011年1月17日	6.5933	6.5869	6.5957	6.5869	0.07%
2011年1月14日	6.5888	6.6037	6.6079	6.5882	-0.27%
2011年1月13日	6.6067	6.6048	6.6131	6.5953	0.03%
2011年1月12日	6.6044	6.6187	6.6193	6.6029	-0.23%
2011年1月11日	6.6193	6.6343	6.6373	6.6188	-0.27%
2011年1月10日	6.6369	6.6275	6.6372	6.6275	0.13%
2011年1月7日	6.6282	6.6251	6.6330	6.6251	0.03%
2011年1月6日	6.6263	6.6229	6.6269	6.6198	0.11%
2011年1月5日	6.6193	6.6071	6.6261	6.6089	0.19%
2011年1月4日	6.6070	6.5900	6.6123	6.5900	0.26%
2011年1月3日	6.5898	6.5896	6.5898	6.5896	-0.01%
2010年12月31日	6.5906	6.6001	6.6107	6.5891	-0.18%
2010年12月30日	6.6025	6.6220	6.6250	6.6005	-0.30%
2010年12月29日	6.6225	6.6260	6.6295	6.6218	-0.03%
2010年12月28日	6.6247	6.6296	6.6307	6.6217	-0.10%
2010年12月27日	6.6313	6.6262	6.6340	6.6257	0.06%
2010年12月24日	6.6271	6.6432	6.6432	6.6246	-0.31%
2010年12月23日	6.6475	6.6470	6.6505	6.6416	0.00%
2010年12月22日	6.6475	6.6600	6.6605	6.6466	-0.17%
2010年12月21日	6.6585	6.6749	6.6749	6.6555	-0.24%
2010年12月20日	6.6747	6.6547	6.6802	6.6523	0.29%
2010年12月17日	6.6555	6.6635	6.6675	6.6555	-0.12%
2010年12月16日	6.6638	6.6527	6.6662	6.6527	0.14%
2010年12月15日	6.6548	6.6522	6.6603	6.6522	-0.03%
2010年12月14日	6.6565	6.6638	6.6638	6.6482	-0.15%
2010年12月13日	6.6664	6.6557	6.6665	6.6547	0.17%
2010年12月10日	6.6553	6.6547	6.6583	6.6463	0.00%
2010年12月9日	6.6552	6.6599	6.6623	6.6528	-0.12%
2010年12月8日	6.6630	6.6448	6.6678	6.6448	0.26%
2010年12月7日	6.6457	6.6477	6.6523	6.6432	-0.05%
2010年12月6日	6.6488	6.6626	6.6628	6.6456	-0.22%
2010年12月3日	6.6633	6.6600	6.6641	6.6570	0.03%
2010年12月2日	6.6614	6.6630	6.6669	6.6574	-0.03%
2010年12月1日	6.6631	6.6670	6.6708	6.6607	-0.06%
2010年11月30日	6.6670	6.6596	6.6690	6.6490	0.10%
2010年11月29日	6.6605	6.6700	6.6760	6.6600	-0.12%
2010年11月26日	6.6686	6.6476	6.6692	6.6476	0.28%
2010年11月25日	6.6502	6.6559	6.6559	6.6467	-0.05%
2010年11月24日	6.6534	6.6420	6.6540	6.6420	0.14%
2010年11月23日	6.6442	6.6403	6.6524	6.6403	0.03%
2010年11月22日	6.6423	6.6403	6.6435	6.6372	0.03%
2010年11月19日	6.6401	6.6332	6.6417	6.6322	0.10%
2010年11月18日	6.6334	6.6428	6.6433	6.6319	-0.13%
2010年11月17日	6.6420	6.6383	6.6512	6.6375	0.05%
2010年11月16日	6.6386	6.6413	6.6520	6.6348	-0.08%
2010年11月15日	6.6437	6.6368	6.6505	6.6337	0.10%
2010年11月12日	6.6371	6.6242	6.6471	6.6218	0.18%
2010年11月11日	6.6250	6.6346	6.6365	6.6188	-0.14%
2010年11月10日	6.6341	6.6450	6.6456	6.6328	-0.15%
2010年11月9日	6.6440	6.6808	6.6884	6.6411	-0.56%
2010年11月8日	6.6812	6.6570	6.6857	6.6570	0.38%
2010年11月5日	6.6558	6.6612	6.6658	6.6502	-0.10%
2010年11月4日	6.6623	6.6759	6.6922	6.6613	-0.22%
2010年11月3日	6.6768	6.6785	6.6787	6.6705	-0.03%
2010年11月2日	6.6785	6.6930	6.6974	6.6766	-0.20%
2010年11月1日	6.6917	6.6720	6.6959	6.6720	0.31%
2010年10月29日	6.6707	6.6867	6.6867	6.6695	-0.25%
2010年10月28日	6.6871	6.6799	6.6917	6.6799	0.09%
2010年10月27日	6.6810	6.6618	6.6862	6.6618	0.28%
2010年10月26日	6.6626	6.6571	6.6666	6.6571	0.07%
2010年10月25日	6.6582	6.6563	6.6597	6.6527	-0.01%
2010年10月22日	6.6589	6.6509	6.6630	6.6482	0.12%
2010年10月21日	6.6507	6.6520	6.6570	6.6423	-0.03%
2010年10月20日	6.6525	6.6448	6.6627	6.6448	0.12%
2010年10月19日	6.6446	6.6437	6.6501	6.6435	0.01%
2010年10月18日	6.6442	6.6407	6.6509	6.6402	0.05%
2010年10月15日	6.6409	6.6510	6.6511	6.6401	-0.15%
2010年10月14日	6.6512	6.6632	6.6632	6.6500	-0.19%
2010年10月13日	6.6639	6.6721	6.6738	6.6631	-0.15%
2010年10月12日	6.6737	6.6681	6.6754	6.6681	0.07%
2010年10月11日	6.6690	6.6710	6.6763	6.6634	-0.04%
2010年10月8日	6.6720	6.6905	6.6935	6.6699	-0.30%
2010年10月7日	6.6918	6.6910	6.6923	6.6910	0.00%
2010年10月6日	6.6918	6.6920	6.6920	6.6918	-0.00%
2010年10月5日	6.6919	6.6907	6.6919	6.6907	0.01%
2010年10月4日	6.6913	6.6895	6.6913	6.6895	0.02%
2010年10月1日	6.6900	6.6900	6.6900	6.6900	-0.03%
2010年9月30日	6.6917	6.6862	6.6952	6.6827	0.06%
2010年9月29日	6.6874	6.6905	6.6936	6.6826	-0.08%
